"filename", "language", "Dart", "comment", "blank", "total"
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\popular_items.dart", "Dart", 66, 0, 4, 70
"f:\flutter\projects\Matgry\matgry\lib\features\home\presentaion\view\widgets\popular_items_card.dart", "Dart", 148, 2, 9, 159
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\onBoarding_view.dart", "Dart", 84, 0, 4, 88
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_1.dart", "Dart", 69, 0, 3, 72
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_2.dart", "Dart", 65, 0, 4, 69
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view\widgets\onboarding_screen_3.dart", "Dart", 59, 0, 4, 63
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view_model\onboarding cubit\onboarding_cubit.dart", "Dart", 42, 0, 9, 51
"f:\flutter\projects\Matgry\matgry\lib\features\onBoarding\presentaion\view_model\onboarding cubit\onboarding_states.dart", "Dart", 3, 0, 3, 6
"f:\flutter\projects\Matgry\matgry\lib\features\search\presentation\view\search_view.dart", "Dart", 8, 0, 3, 11
"f:\flutter\projects\Matgry\matgry\lib\features\splash\presentation\view\splash_view.dart", "Dart", 10, 0, 2, 12
"f:\flutter\projects\Matgry\matgry\lib\features\splash\presentation\view\widget\splash_view_body.dart", "Dart", 63, 1, 9, 73
"f:\flutter\projects\Matgry\matgry\lib\gen\assets.gen.dart", "Dart", 158, 38, 48, 244
"f:\flutter\projects\Matgry\matgry\lib\gen\fonts.gen.dart", "Dart", 5, 9, 5, 19
"f:\flutter\projects\Matgry\matgry\lib\main.dart", "Dart", 38, 0, 5, 43
"Total", "-", 3046, 76, 343, 3465
